"UA_GEOID","UA_NAME","avg_frequency","pct_chain","n_rest"
"09244","Boscobel, WI",3531.11111111111,0.555555555555556,9
"09271","Boston, MA--NH--RI",1526.18145125123,0.327204233563548,11149
"09298","Boulder, CO",854.818858560794,0.26302729528536,403
"09325","Boulder City, NV",2087.875,0.475,40
"09352","Bowie, TX",2790.52631578947,0.473684210526316,19
"09379","Bowling Green, KY",2502.34567901235,0.637860082304527,243
"09406","Bowling Green, MO",3672.0625,0.5,16
"09433","Bowling Green, OH",3147.28712871287,0.584158415841584,101
"09460","Box Elder, SD",3315.83333333333,0.833333333333333,6
"09487","Boyne City, MI",2154.84210526316,0.263157894736842,19
"09514","Bozeman, MT",1043.68783068783,0.317460317460317,189
"09532","Brackettville, TX",3093.125,0.375,8
"09541","Bradford, PA--NY",2506.47222222222,0.388888888888889,36
"09568","Brady, TX",1580.38888888889,0.388888888888889,18
"09600","Braidwood--Coal City--Wilmington, IL",3862.7619047619,0.476190476190476,42
"09622","Brainerd, MN",2602.73333333333,0.56,75
"09649","Brandon, SD",3741.5,0.714285714285714,14
"09676","Branson, MO",1713.00806451613,0.407258064516129,248
"09703","Brattleboro, VT--NH",2113.52941176471,0.338235294117647,68
"09730","Brawley, CA",2281.55263157895,0.473684210526316,38
"09784","Brazoria, TX",4932.71428571429,0.571428571428571,7
"09801","Breaux Bridge, LA",3263.34090909091,0.386363636363636,44
"09811","Breckenridge, CO",596.747663551402,0.130841121495327,107
"09838","Breckenridge, TX",1794.41666666667,0.333333333333333,12
"09865","Breese, IL",4149.4375,0.375,16
"09892","Bremen, GA",4061.81818181818,0.636363636363636,22
"09919","Bremen, IN",3425.53333333333,0.333333333333333,15
"09946","Bremerton, WA",2091.62524271845,0.34368932038835,515
"09973","Brenham, TX",2578.52830188679,0.471698113207547,53
"10000","Brent, AL",5489.85714285714,0.571428571428571,7
"10027","Brevard, NC",1792.34782608696,0.347826086956522,69
"10081","Brewton, AL",3524.875,0.625,16
"10135","Bridgeport, TX",2548.83333333333,0.333333333333333,18
"10162","Bridgeport--Stamford, CT--NY",1614.17047244094,0.27992125984252,2540
"10189","Bridgeton, NJ",2805.63414634146,0.390243902439024,41
"10198","Bridgeville, DE",4271.75,0.75,4
"10297","Brillion, WI",4739.375,0.25,8
"10324","Brinkley, AR",4359.16666666667,0.583333333333333,12
"10351","Bristol--Bristol, TN--VA",2410.79274611399,0.549222797927461,193
"10378","Bristow, OK",4612.88888888889,0.777777777777778,9
"10405","Broadway, VA",3698.76923076923,0.692307692307692,13
"10418","Brockport, NY",3044.65909090909,0.386363636363636,44
"10426","Brockway, PA",5444.71428571429,0.428571428571429,7
"10459","Brodhead, WI",3544.42857142857,0.428571428571429,7
"10513","Broken Bow, NE",3933.91666666667,0.5,12
"10540","Broken Bow, OK",3891.26666666667,0.4,15
"10567","Brookfield, MO",3691.07692307692,0.461538461538462,13
"10594","Brookhaven, MS",2666.76744186047,0.511627906976744,43
"10621","Brookings, OR",1402.26530612245,0.244897959183673,49
"10648","Brookings, SD",2601.95081967213,0.655737704918033,61
"10675","Brooklyn, MI",3609.72727272727,0.545454545454545,11
"10702","Brookshire, TX",4513.61111111111,0.611111111111111,18
"10810","Brookville, PA",2968.72727272727,0.545454545454545,22
"10837","Brownfield, TX",3572.45454545455,0.636363636363636,22
"10864","Browning, MT",2784.33333333333,0.333333333333333,9
"10891","Browns Mills--Fort Dix, NJ",3279.16071428571,0.5,56
"10918","Brownstown, IN",6031.28571428571,0.714285714285714,7
"10945","Brownsville, TN",3489.52631578947,0.526315789473684,19
"10972","Brownsville, TX",2243.2181372549,0.468137254901961,408
"10999","Brownwood, TX",1963.49206349206,0.428571428571429,63
"11026","Brunswick, GA",2449.54901960784,0.490196078431373,153
"11040","Brunswick, ME",2314.18939393939,0.371212121212121,132
"11053","Brunswick, MD--VA",2130.42307692308,0.461538461538462,26
"11080","Brush, CO",3290,0.3,10
"11107","Bryan, OH",3632.84375,0.5625,32
"11134","Buckeye, AZ",2578.92307692308,0.346153846153846,26
"11161","Buckhannon, WV",3083.05555555556,0.555555555555556,36
"11175","Buckhead (Bryan County), GA",1,0,1
"11188","Buckner, MO",6681.25,0.75,4
"11215","Bucyrus, OH",3123.04347826087,0.565217391304348,23
"11242","Buena Vista, CO",972.84375,0.1875,32
"11269","Buena Vista, VA",4247.09090909091,0.636363636363636,11
"11296","Buffalo, MN",2457.2,0.628571428571429,35
"11323","Buffalo, MO",4149.33333333333,0.666666666666667,12
"11350","Buffalo, NY",1700.67311072056,0.359841827768014,2276
"11377","Buffalo, WY",2221.83333333333,0.25,24
"11404","Buhl, ID",2218.54545454545,0.272727272727273,11
"11415","Buies Creek, NC",2157.35294117647,0.352941176470588,17
"11431","Bullhead City, AZ--NV",2717.21875,0.479166666666667,96
"11512","Bunkie, LA",6402.85714285714,0.428571428571429,7
"11539","Buras, LA",1.4,0,10
"11566","Burgaw, NC",5343.45454545455,0.636363636363636,11
"11575","Burgettstown, PA",5445,0.428571428571429,7
"11593","Burkburnett, TX",3757.8,0.666666666666667,15
"11620","Burley, ID",2115.27777777778,0.472222222222222,36
"11647","Burlington, CO",4613.83333333333,0.583333333333333,12
"11674","Burlington, IA--IL",2694.38372093023,0.569767441860465,86
"11701","Burlington, KS",5357.77777777778,0.666666666666667,9
"11728","Burlington, NC",2140.32485875706,0.528248587570621,354
"11755","Burlington, VT",1242.42928039702,0.267990074441687,403
"11782","Burlington, WI",2746.41071428571,0.428571428571429,56
"11809","Burnet, TX",2589.17857142857,0.464285714285714,28
"11836","Burney, CA",1237.90909090909,0.272727272727273,11
"11863","Burns, OR",1318.27272727273,0.272727272727273,22
"11872","Burnt Store Marina, FL",1,0,2
"11890","Bushnell, FL",4123.29411764706,0.588235294117647,17
"11917","Bushnell, IL",4086.875,0.5,8
"11944","Butler, IN",5,0.333333333333333,3
"11971","Butler, MO",5353.33333333333,0.666666666666667,12
"11998","Butler, PA",2529.60824742268,0.54639175257732,97
"12025","Butner, NC",3412.4,0.52,25
"12052","Butte-Silver Bow, MT",1648.70454545455,0.397727272727273,88
"12079","Byron, IL",3535.21052631579,0.368421052631579,19
"12106","Byron, MN",4683.55555555556,0.333333333333333,9
"12120","Cache, OK",3499.14285714286,0.428571428571429,7
"12133","Cactus, TX",18,0.5,2
"12160","Cadillac, MI",2034.94117647059,0.509803921568627,51
"12187","Cadiz, KY",677.444444444444,0.444444444444444,9
"12214","Cadiz, OH",3755.85714285714,0.571428571428571,7
"12241","Cairo, GA",3312.21739130435,0.608695652173913,23
"12268","Cairo, IL",2,0,2
"12295","Calais, ME",3192.66666666667,0.333333333333333,15
"12322","Caldwell, OH",4275.23076923077,0.461538461538462,13
"12349","Caldwell, TX",2676.2,0.3,20
"12376","Caledonia, MN",3572.75,0.375,8
"12457","Calhoun, GA",2746.24468085106,0.638297872340426,94
"12511","California, MO",5073.7,0.8,10
"12565","California City, CA",2528.6,0.2,15
"12592","Calipatria, CA",2,0,2
"12646","Calistoga, CA",1.4375,0.03125,32
"12700","Camano, WA",3477.42857142857,0.142857142857143,7
"12713","Camano North, WA",1,0,1
"12754","Camarillo, CA",2323.02395209581,0.491017964071856,167
"12781","Cambria, CA",3.67567567567568,0.162162162162162,37
"12808","Cambridge, MD",3314.62222222222,0.4,45
"12835","Cambridge, MN",3530.10714285714,0.678571428571429,28
"12862","Cambridge, OH",4271.11111111111,0.592592592592593,54
"12872","Cambridge, WI",3042.75,0.125,8
"12889","Cambridge City, IN",2706.33333333333,0.222222222222222,9
"12890","Cambridge Springs, PA",2.6,0.2,5
"12916","Camden, AR",2509.08,0.4,25
"12943","Camden, ME",696.942857142857,0.114285714285714,35
"12970","Camden, SC",2000.59459459459,0.378378378378378,37
"12997","Camden, TN",4879.1875,0.6875,16
"13024","Camdenton, MO",1635.47058823529,0.411764705882353,17
"13051","Cameron, MO",2389.06666666667,0.6,15
"13078","Cameron, TX",2648.3125,0.4375,16
"13132","Camilla, GA",5314.91666666667,0.5,12
